fixture_id,league_id,league_name,season,date,status_short,status_long,home_id,home,away_id,away,goals_home,goals_away,result,sport_key,home_norm,away_norm
1388505,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,162,Werder Bremen,157,Bayern München,,,,soccer_germany_bundesliga,werder bremen,bayern münchen
1388499,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,165,Borussia Dortmund,164,FSV Mainz 05,,,,soccer_germany_bundesliga,borussia dortmund,fsv mainz 05
1388502,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,167,1899 Hoffenheim,160,SC Freiburg,,,,soccer_germany_bundesliga,1899 hoffenheim,freiburg
1388498,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,168,Bayer Leverkusen,186,FC St. Pauli,,,,soccer_germany_bundesliga,bayer leverkusen,st pauli
1388500,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,169,Eintracht Frankfurt,163,Borussia Mönchengladbach,,,,soccer_germany_bundesliga,eintracht frankfurt,borussia mönchengladbach
1388497,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,170,FC Augsburg,180,1. FC Heidenheim,,,,soccer_germany_bundesliga,augsburg,1 heidenheim
1388504,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,172,VfB Stuttgart,192,1.FC Köln,,,,soccer_germany_bundesliga,vfb stuttgart,1 köln
1388503,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,173,RB Leipzig,161,VfL Wolfsburg,,,,soccer_germany_bundesliga,rb leipzig,vfl wolfsburg
1388501,78,Bundesliga,2025,2026-02-14 14:30:00+00:00,NS,Not Started,175,Hamburger SV,182,Union Berlin,,,,soccer_germany_bundesliga,hamburger sv,union berlin
1388506,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,157,Bayern München,169,Eintracht Frankfurt,,,,soccer_germany_bundesliga,bayern münchen,eintracht frankfurt
1388508,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,160,SC Freiburg,163,Borussia Mönchengladbach,,,,soccer_germany_bundesliga,freiburg,borussia mönchengladbach
1388514,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,161,VfL Wolfsburg,170,FC Augsburg,,,,soccer_germany_bundesliga,vfl wolfsburg,augsburg
1388510,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,164,FSV Mainz 05,175,Hamburger SV,,,,soccer_germany_bundesliga,fsv mainz 05,hamburger sv
1388511,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,173,RB Leipzig,165,Borussia Dortmund,,,,soccer_germany_bundesliga,rb leipzig,borussia dortmund
1388509,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,180,1. FC Heidenheim,172,VfB Stuttgart,,,,soccer_germany_bundesliga,1 heidenheim,vfb stuttgart
1388513,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,182,Union Berlin,168,Bayer Leverkusen,,,,soccer_germany_bundesliga,union berlin,bayer leverkusen
1388512,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,186,FC St. Pauli,162,Werder Bremen,,,,soccer_germany_bundesliga,st pauli,werder bremen
1388507,78,Bundesliga,2025,2026-02-21 14:30:00+00:00,NS,Not Started,192,1.FC Köln,167,1899 Hoffenheim,,,,soccer_germany_bundesliga,1 köln,1899 hoffenheim
1388523,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,162,Werder Bremen,180,1. FC Heidenheim,,,,soccer_germany_bundesliga,werder bremen,1 heidenheim
1388517,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,163,Borussia Mönchengladbach,182,Union Berlin,,,,soccer_germany_bundesliga,borussia mönchengladbach,union berlin
1388518,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,165,Borussia Dortmund,157,Bayern München,,,,soccer_germany_bundesliga,borussia dortmund,bayern münchen
1388521,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,167,1899 Hoffenheim,186,FC St. Pauli,,,,soccer_germany_bundesliga,1899 hoffenheim,st pauli
1388516,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,168,Bayer Leverkusen,164,FSV Mainz 05,,,,soccer_germany_bundesliga,bayer leverkusen,fsv mainz 05
1388519,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,169,Eintracht Frankfurt,160,SC Freiburg,,,,soccer_germany_bundesliga,eintracht frankfurt,freiburg
1388515,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,170,FC Augsburg,192,1.FC Köln,,,,soccer_germany_bundesliga,augsburg,1 köln
1388522,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,172,VfB Stuttgart,161,VfL Wolfsburg,,,,soccer_germany_bundesliga,vfb stuttgart,vfl wolfsburg
1388520,78,Bundesliga,2025,2026-02-28 14:30:00+00:00,NS,Not Started,175,Hamburger SV,173,RB Leipzig,,,,soccer_germany_bundesliga,hamburger sv,rb leipzig
1388524,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,157,Bayern München,163,Borussia Mönchengladbach,,,,soccer_germany_bundesliga,bayern münchen,borussia mönchengladbach
1388526,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,160,SC Freiburg,168,Bayer Leverkusen,,,,soccer_germany_bundesliga,freiburg,bayer leverkusen
1388532,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,161,VfL Wolfsburg,175,Hamburger SV,,,,soccer_germany_bundesliga,vfl wolfsburg,hamburger sv
1388528,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,164,FSV Mainz 05,172,VfB Stuttgart,,,,soccer_germany_bundesliga,fsv mainz 05,vfb stuttgart
1388529,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,173,RB Leipzig,170,FC Augsburg,,,,soccer_germany_bundesliga,rb leipzig,augsburg
1388527,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,180,1. FC Heidenheim,167,1899 Hoffenheim,,,,soccer_germany_bundesliga,1 heidenheim,1899 hoffenheim
1388531,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,182,Union Berlin,162,Werder Bremen,,,,soccer_germany_bundesliga,union berlin,werder bremen
1388530,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,186,FC St. Pauli,169,Eintracht Frankfurt,,,,soccer_germany_bundesliga,st pauli,eintracht frankfurt
1388525,78,Bundesliga,2025,2026-03-07 14:30:00+00:00,NS,Not Started,192,1.FC Köln,165,Borussia Dortmund,,,,soccer_germany_bundesliga,1 köln,borussia dortmund
1388537,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,160,SC Freiburg,182,Union Berlin,,,,soccer_germany_bundesliga,freiburg,union berlin
1388541,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,162,Werder Bremen,164,FSV Mainz 05,,,,soccer_germany_bundesliga,werder bremen,fsv mainz 05
1388534,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,163,Borussia Mönchengladbach,186,FC St. Pauli,,,,soccer_germany_bundesliga,borussia mönchengladbach,st pauli
1388535,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,165,Borussia Dortmund,170,FC Augsburg,,,,soccer_germany_bundesliga,borussia dortmund,augsburg
1388539,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,167,1899 Hoffenheim,161,VfL Wolfsburg,,,,soccer_germany_bundesliga,1899 hoffenheim,vfl wolfsburg
1388533,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,168,Bayer Leverkusen,157,Bayern München,,,,soccer_germany_bundesliga,bayer leverkusen,bayern münchen
1388536,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,169,Eintracht Frankfurt,180,1. FC Heidenheim,,,,soccer_germany_bundesliga,eintracht frankfurt,1 heidenheim
1388540,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,172,VfB Stuttgart,173,RB Leipzig,,,,soccer_germany_bundesliga,vfb stuttgart,rb leipzig
1388538,78,Bundesliga,2025,2026-03-14 14:30:00+00:00,NS,Not Started,175,Hamburger SV,192,1.FC Köln,,,,soccer_germany_bundesliga,hamburger sv,1 köln
1388543,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,157,Bayern München,182,Union Berlin,,,,soccer_germany_bundesliga,bayern münchen,union berlin
1388550,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,161,VfL Wolfsburg,162,Werder Bremen,,,,soccer_germany_bundesliga,vfl wolfsburg,werder bremen
1388547,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,164,FSV Mainz 05,169,Eintracht Frankfurt,,,,soccer_germany_bundesliga,fsv mainz 05,eintracht frankfurt
1388544,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,165,Borussia Dortmund,175,Hamburger SV,,,,soccer_germany_bundesliga,borussia dortmund,hamburger sv
1388542,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,170,FC Augsburg,172,VfB Stuttgart,,,,soccer_germany_bundesliga,augsburg,vfb stuttgart
1388548,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,173,RB Leipzig,167,1899 Hoffenheim,,,,soccer_germany_bundesliga,rb leipzig,1899 hoffenheim
1388546,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,180,1. FC Heidenheim,168,Bayer Leverkusen,,,,soccer_germany_bundesliga,1 heidenheim,bayer leverkusen
1388549,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,186,FC St. Pauli,160,SC Freiburg,,,,soccer_germany_bundesliga,st pauli,freiburg
1388545,78,Bundesliga,2025,2026-03-21 14:30:00+00:00,NS,Not Started,192,1.FC Köln,163,Borussia Mönchengladbach,,,,soccer_germany_bundesliga,1 köln,borussia mönchengladbach
1388554,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,160,SC Freiburg,157,Bayern München,,,,soccer_germany_bundesliga,freiburg,bayern münchen
1388559,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,162,Werder Bremen,173,RB Leipzig,,,,soccer_germany_bundesliga,werder bremen,rb leipzig
1388552,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,163,Borussia Mönchengladbach,180,1. FC Heidenheim,,,,soccer_germany_bundesliga,borussia mönchengladbach,1 heidenheim
1388556,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,167,1899 Hoffenheim,164,FSV Mainz 05,,,,soccer_germany_bundesliga,1899 hoffenheim,fsv mainz 05
1388551,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,168,Bayer Leverkusen,161,VfL Wolfsburg,,,,soccer_germany_bundesliga,bayer leverkusen,vfl wolfsburg
1388553,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,169,Eintracht Frankfurt,192,1.FC Köln,,,,soccer_germany_bundesliga,eintracht frankfurt,1 köln
1388557,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,172,VfB Stuttgart,165,Borussia Dortmund,,,,soccer_germany_bundesliga,vfb stuttgart,borussia dortmund
1388555,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,175,Hamburger SV,170,FC Augsburg,,,,soccer_germany_bundesliga,hamburger sv,augsburg
1388558,78,Bundesliga,2025,2026-04-04 13:30:00+00:00,NS,Not Started,182,Union Berlin,186,FC St. Pauli,,,,soccer_germany_bundesliga,union berlin,st pauli
