sport_key,league_name,season,fixture_id,date,home,away,home_id,away_id,status,goals_home,goals_away,result
soccer_germany_bundesliga,Bundesliga,2024,1224176,2025-02-23 18:30:00+00:00,1899 Hoffenheim,VfB Stuttgart,167,172,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224182,2025-02-28 19:30:00+00:00,VfB Stuttgart,Bayern München,172,157,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224186,2025-03-01 14:30:00+00:00,Werder Bremen,VfL Wolfsburg,162,161,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224183,2025-03-01 14:30:00+00:00,RB Leipzig,FSV Mainz 05,173,164,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224189,2025-03-01 14:30:00+00:00,VfL Bochum,1899 Hoffenheim,176,167,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224185,2025-03-01 14:30:00+00:00,1. FC Heidenheim,Borussia Mönchengladbach,180,163,FT,0,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224190,2025-03-01 14:30:00+00:00,FC St. Pauli,Borussia Dortmund,186,165,FT,0,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224184,2025-03-01 17:30:00+00:00,Eintracht Frankfurt,Bayer Leverkusen,169,168,FT,1,4,A
soccer_germany_bundesliga,Bundesliga,2024,1224188,2025-03-02 14:30:00+00:00,Union Berlin,Holstein Kiel,182,191,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224187,2025-03-02 16:30:00+00:00,FC Augsburg,SC Freiburg,170,160,FT,0,0,D
soccer_germany_bundesliga,Bundesliga,2024,1224198,2025-03-07 19:30:00+00:00,Borussia Mönchengladbach,FSV Mainz 05,163,164,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224192,2025-03-08 14:30:00+00:00,Bayern München,VfL Bochum,157,176,FT,2,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224197,2025-03-08 14:30:00+00:00,VfL Wolfsburg,FC St. Pauli,161,186,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224193,2025-03-08 14:30:00+00:00,Borussia Dortmund,FC Augsburg,165,170,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224191,2025-03-08 14:30:00+00:00,Bayer Leverkusen,Werder Bremen,168,162,FT,0,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224199,2025-03-08 14:30:00+00:00,Holstein Kiel,VfB Stuttgart,191,172,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224196,2025-03-08 17:30:00+00:00,SC Freiburg,RB Leipzig,160,173,FT,0,0,D
soccer_germany_bundesliga,Bundesliga,2024,1224194,2025-03-09 14:30:00+00:00,Eintracht Frankfurt,Union Berlin,169,182,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224195,2025-03-09 16:30:00+00:00,1899 Hoffenheim,1. FC Heidenheim,167,180,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224208,2025-03-14 19:30:00+00:00,FC St. Pauli,1899 Hoffenheim,186,167,FT,1,0,H
