fixture_id,league_id,league_name,season,date,sport_key,home,away,home_norm,away_norm,status_short,status_long,odds_h,odds_d,odds_a,odds_source,p_hat_h,p_hat_d,p_hat_a,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,kelly_best,best_side,best_EV
1388371,78,Bundesliga,2025,2025-10-25 13:30:00+00:00,soccer_germany_bundesliga,FC Augsburg,RB Leipzig,augsburg,rb leipzig,NS,Not Started,3.58,3.74,2.13,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.873091447245217,0.0,-0.37945989724925233,0.0,0.7010837531390448,0.15510702503076212,0.15510702503076212,A,0.7010837531390448
1388372,78,Bundesliga,2025,2025-10-26 14:30:00+00:00,soccer_germany_bundesliga,Bayer Leverkusen,SC Freiburg,bayer leverkusen,freiburg,NS,Not Started,1.71,4.3,5.25,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9393816689355645,0.0,-0.28654480165021,0.0,3.192812067596237,0.18781247456448452,0.18781247456448452,A,3.192812067596237
1388373,78,Bundesliga,2025,2025-10-25 13:30:00+00:00,soccer_germany_bundesliga,Borussia Mönchengladbach,Bayern München,borussia mönchengladbach,bayern münchen,NS,Not Started,15.0,8.75,1.22,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.46826025382074166,0.0,0.45179836873503776,0.014574140926936702,-0.025670338577636342,0.0,0.014574140926936702,D,0.45179836873503776
1388374,78,Bundesliga,2025,2025-10-25 16:30:00+00:00,soccer_germany_bundesliga,Borussia Dortmund,1.FC Köln,borussia dortmund,1 köln,NS,Not Started,1.55,4.84,6.5,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9450535595614766,0.0,-0.196948102322562,0.0,4.1911006551191505,0.19050457523268866,0.19050457523268866,A,4.1911006551191505
1388375,78,Bundesliga,2025,2025-10-25 13:30:00+00:00,soccer_germany_bundesliga,Eintracht Frankfurt,FC St. Pauli,eintracht frankfurt,st pauli,NS,Not Started,1.8,4.16,4.75,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.936191230458489,0.0,-0.30977357554997054,0.0,2.793496632587072,0.18623310883913813,0.18623310883913813,A,2.793496632587072
1388376,78,Bundesliga,2025,2025-10-25 13:30:00+00:00,soccer_germany_bundesliga,Hamburger SV,VfL Wolfsburg,hamburger sv,vfl wolfsburg,NS,Not Started,2.95,3.64,2.49,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8954245165847459,0.0,-0.39605187860622426,0.0,0.988590866345644,0.16587095072913488,0.16587095072913488,A,0.988590866345644
1388377,78,Bundesliga,2025,2025-10-25 13:30:00+00:00,soccer_germany_bundesliga,1899 Hoffenheim,1. FC Heidenheim,1899 hoffenheim,1 heidenheim,NS,Not Started,1.82,4.0,4.75,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9354822441302499,0.0,-0.3363207457211256,0.0,2.793496632587072,0.18623310883913813,0.18623310883913813,A,2.793496632587072
1388379,78,Bundesliga,2025,2025-10-24 18:30:00+00:00,soccer_germany_bundesliga,Werder Bremen,Union Berlin,werder bremen,union berlin,NS,Not Started,2.18,3.9,3.37,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9227204902219478,0.0,-0.3529127270780975,0.0,1.691386031961775,0.17841624809723364,0.17841624809723364,A,1.691386031961775
1390899,140,La Liga,2025,2025-10-20 19:00:00+00:00,soccer_spain_la_liga,Alaves,Valencia,alaves,valencia,NS,Not Started,4.0,8.5,5.1,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8582027343521977,0.0,0.41031841534260804,0.013677280511420276,3.073017437093487,0.1873791120178956,0.1873791120178956,A,3.073017437093487
1390900,140,La Liga,2025,2025-10-18 19:00:00+00:00,soccer_spain_la_liga,Atletico Madrid,Osasuna,atletico madrid,osasuna,NS,Not Started,2.62,10.5,9.0,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9071227910006895,0.0,0.7421580424820453,0.019530474802159088,6.1876778301649775,0.19336493219265555,0.19336493219265555,A,6.1876778301649775
1390901,140,La Liga,2025,2025-10-18 14:15:00+00:00,soccer_spain_la_liga,Barcelona,Girona,barcelona,girona,NS,Not Started,1.95,12.0,14.32,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.9308738329966965,0.0,0.9910377628366231,0.022523585519014167,10.436394058662499,0.19587826686678864,0.19587826686678864,A,10.436394058662499
1390902,140,La Liga,2025,2025-10-19 14:15:00+00:00,soccer_spain_la_liga,Celta Vigo,Real Sociedad,celta vigo,real sociedad,NS,Not Started,3.6,7.5,5.0,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.872382460916978,0.0,0.24439860177288963,0.009399946222034217,2.9931543500916544,0.1870721468807284,0.1870721468807284,A,2.9931543500916544
1390903,140,La Liga,2025,2025-10-19 12:00:00+00:00,soccer_spain_la_liga,Elche,Athletic Club,elche,athletic,NS,Not Started,5.3,7.5,3.75,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.812118623016662,0.0,0.24439860177288963,0.009399946222034217,1.994865762568741,0.18135143296079462,0.18135143296079462,A,1.994865762568741
1390904,140,La Liga,2025,2025-10-19 19:00:00+00:00,soccer_spain_la_liga,Getafe,Real Madrid,getafe,real madrid,NS,Not Started,9.0,8.5,2.62,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.680956152292445,0.0,0.41031841534260804,0.013677280511420276,1.0924128794480268,0.1685822344827202,0.1685822344827202,A,1.0924128794480268
1390905,140,La Liga,2025,2025-10-19 16:30:00+00:00,soccer_spain_la_liga,Levante,Rayo Vallecano,levante,rayo vallecano,NS,Not Started,4.25,7.5,4.05,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8493404052492102,0.0,0.24439860177288963,0.009399946222034217,2.23445502357424,0.18315205111264263,0.18315205111264263,A,2.23445502357424
1390906,140,La Liga,2025,2025-10-17 19:00:00+00:00,soccer_spain_la_liga,Oviedo,Espanyol,oviedo,espanyol,NS,Not Started,4.6,8.0,4.0,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8369331445050274,0.0,0.32735850855774884,0.011691375305633887,2.1945234800733235,0.18287695667277695,0.18287695667277695,A,2.1945234800733235
1390907,140,La Liga,2025,2025-10-18 12:00:00+00:00,soccer_spain_la_liga,Sevilla,Mallorca,sevilla,mallorca,NS,Not Started,3.25,9.7,5.9,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8847897216611607,0.0,0.6094221916262703,0.017512131943283632,3.7119221331081524,0.18938378230143635,0.18938378230143635,A,3.7119221331081524
1390908,140,La Liga,2025,2025-10-18 16:30:00+00:00,soccer_spain_la_liga,Villarreal,Real Betis,villarreal,real betis,NS,Not Started,3.2,8.0,5.1,apifootball,0.03544931641195056,0.1659198135697186,0.7986308700183309,-0.8865621874817582,0.0,0.32735850855774884,0.011691375305633887,3.073017437093487,0.1873791120178956,0.1873791120178956,A,3.073017437093487
